PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Group,Lastname,Deck,Cab_num,Deck_side
0001_01,Europa,False,B/0/P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,1.0,Ofracculy,B,0.0,P
0002_01,Earth,False,F/0/S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,2.0,Vines,F,0.0,S
0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,3.0,Susent,A,0.0,S
0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,3.0,Susent,A,0.0,S
0004_01,Earth,False,F/1/S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,4.0,Santantines,F,1.0,S
0005_01,Earth,False,F/0/P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,5.0,Hinetthews,F,0.0,P
0006_01,Earth,False,F/2/S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,6.0,Jacostaffey,F,2.0,S
0006_02,Earth,True,G/0/S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,304.8547912992357,Candra Jacostaffey,True,6.0,Jacostaffey,G,0.0,S
0007_01,Earth,False,F/3/S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,7.0,Beston,F,3.0,S
0008_01,Europa,True,B/1/P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,8.0,Flatic,B,1.0,P
0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,False,0.0,0.0,173.72916912197996,0.0,0.0,Altardr Flatic,True,8.0,Flatic,B,1.0,P
0008_03,Europa,False,B/1/P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True,8.0,Flatic,B,1.0,P
0009_01,Mars,False,F/1/P,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,Berers Barne,True,9.0,Barne,F,1.0,P
0010_01,Earth,False,G/1/S,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,Reney Baketton,False,10.0,Baketton,G,1.0,S
0011_01,Earth,False,F/2/P,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,True,11.0,Bertsontry,F,2.0,P
0014_01,Mars,False,F/3/P,55 Cancri e,27.0,False,1286.0,122.0,173.72916912197996,0.0,0.0,Flats Eccle,False,14.0,Eccle,F,3.0,P
0015_01,Earth,False,F/4/P,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,False,15.0,Hughriend,F,4.0,P
0016_01,Mars,True,F/5/P,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,16.0,Upead,F,5.0,P
0017_01,Earth,False,G/0/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,17.0,Brighttt,G,0.0,P
0017_02,Earth,False,F/6/P,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,False,17.0,Brighttt,F,6.0,P
0020_01,Earth,True,E/0/S,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,20.0,Brantuarez,E,0.0,S
0020_02,Earth,True,E/0/S,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,20.0,Brantuarez,E,0.0,S
0020_03,Earth,True,E/0/S,55 Cancri e,29.0,False,0.0,0.0,173.72916912197996,0.0,0.0,Mollen Mcfaddennon,False,20.0,Mcfaddennon,E,0.0,S
0020_04,Earth,False,E/0/S,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,20.0,Jacostanley,E,0.0,S
0020_05,Earth,True,E/0/S,PSO J318.5-22,1.0,False,224.687617481203,0.0,0.0,0.0,0.0,Mael Brantuarez,False,20.0,Brantuarez,E,0.0,S
0020_06,Earth,False,E/0/S,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,20.0,Mcfaddennon,E,0.0,S
0024_01,Europa,True,C/2/S,TRAPPIST-1e,62.0,False,0.0,0.0,173.72916912197996,0.0,0.0,Penton Fullided,True,24.0,Fullided,C,2.0,S
0025_01,Earth,False,F/6/S,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,False,25.0,Brookenson,F,6.0,S
0026_01,Europa,False,C/0/P,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,False,26.0,Unconary,C,0.0,P
0028_01,Mars,False,F/8/P,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,False,28.0,Mare,F,8.0,P
0030_01,Earth,False,G/4/S,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,False,30.0,Morsentley,G,4.0,S
0031_01,Mars,False,F/9/P,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,True,31.0,Datie,F,9.0,P
0031_02,Mars,False,F/9/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,31.0,Datie,F,9.0,P
0031_03,Mars,False,F/9/P,TRAPPIST-1e,20.0,False,224.687617481203,0.0,1750.0,990.0,0.0,Dontch Datie,True,31.0,Datie,F,9.0,P
0034_01,Europa,True,D/1/S,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,34.0,Oingwhedly,D,1.0,S
0035_01,Mars,False,D/1/P,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,Luse Butte,False,35.0,Butte,D,1.0,P
0038_01,Earth,False,F/10/S,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,False,38.0,Wheelez,F,10.0,S
0039_01,Earth,True,G/1/P,55 Cancri e,30.0,False,0.0,0.0,173.72916912197996,0.0,0.0,Jorgie Batthewitt,False,39.0,Batthewitt,G,1.0,P
0041_01,Earth,True,G/2/P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,41.0,Moodsey,G,2.0,P
0043_01,Europa,False,B/3/P,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,False,43.0,Cylistrand,B,3.0,P
0044_01,Earth,True,G/3/P,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False,44.0,Coopelandez,G,3.0,P
0044_02,Earth,True,G/3/P,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True,44.0,Coopelandez,G,3.0,P
0044_03,Earth,True,G/3/P,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True,44.0,Coopelandez,G,3.0,P
